4234,"Tailor of Panama, The (2001)",Drama|Thriller,-1.0
849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller,-0.5991059
3435,Double Indemnity (1944),Crime|Drama|Film-Noir,-0.5387713
64167,Dinotopia (2002),Adventure|Fantasy,-0.49220395
2524,"Towering Inferno, The (1974)",Action|Adventure|Drama|Thriller,-0.48558474
80549,Easy A (2010),Comedy|Romance,-0.4554599
1171,Bob Roberts (1992),Comedy,-0.45225328
133832,The Green Inferno (2014),Horror|Thriller,-0.44225
5882,Treasure Planet (2002),Adventure|Animation|Children|Sci-Fi|IMAX,-0.43600476
169992,Free Fire (2017),Action|Crime|Drama,-0.42868516
25905,"Miracle of Morgan's Creek, The (1944)",Comedy|Romance,-0.4282793
132462,Sword of Vengeance (2014),Action|Adventure|Drama,-0.42491615
4214,Revenge of the Nerds (1984),Comedy,-0.42115685
88593,"Yellow Sea, The (a.k.a. The Murderer) (Hwanghae) (2010)",Crime|Drama|Thriller,-0.4185179
6851,"Gas, Food, Lodging (1992)",Drama|Romance,-0.4148791
140561,Jeff Ross Roasts Criminals: Live at Brazos County Jail (2015),Comedy|Documentary,-0.41140178
1885,"Opposite of Sex, The (1998)",Comedy|Drama|Romance,-0.4083693
574,Spanking the Monkey (1994),Comedy|Drama,-0.40745038
95167,Brave (2012),Action|Adventure|Animation|Children,-0.40489239
5872,Die Another Day (2002),Action|Adventure|Thriller,-0.40462822
31804,Night Watch (Nochnoy dozor) (2004),Action|Fantasy|Horror|Mystery|Sci-Fi|Thriller,-0.39316005
